example_id,pair_id,case_id,dataset,assigned_split,judgment_hash,chunk_index,total_chunks,input_tokens,target_tokens,total_tokens,alignment_mean_similarity,alignment_min_similarity,aligned_summary_sentences,target_truncated
IN-Abs:1029:reference:chunk-0000,IN-Abs:1029:reference,1029,IN-Abs,train,bca172e63f5e078528d3ddc71676c5067859d12f1dc04fced12c78467a129f52,0,1,1629,534,2233,0.6577058782180151,0.30981236696243286,12,False
IN-Abs:1030:reference:chunk-0000,IN-Abs:1030:reference,1030,IN-Abs,train,974dffa6a589ed31491a8a1013f63ee78f6d1ec36e716b36b8ebfa1e4b1a16d4,0,1,1645,359,2074,0.7479558090368906,0.6210294961929321,6,False
IN-Abs:1032:reference:chunk-0000,IN-Abs:1032:reference,1032,IN-Abs,train,f333fbd540f14be71c6eff230604215472f5f59c2589a5e6cc62b901884e811b,0,1,1891,367,2328,0.6491372287273407,0.365082323551178,9,False
IN-Abs:1033:reference:chunk-0000,IN-Abs:1033:reference,1033,IN-Abs,train,9cb08d6ae63ad0779f98d1824795b07d7a1584e14316503567e343be901631e5,0,3,2785,673,3528,0.719929243127505,0.5117617845535278,12,False
IN-Abs:1033:reference:chunk-0001,IN-Abs:1033:reference,1033,IN-Abs,train,9cb08d6ae63ad0779f98d1824795b07d7a1584e14316503567e343be901631e5,1,3,2789,24,2883,0.416235014796257,0.2902887761592865,2,False
IN-Abs:1033:reference:chunk-0002,IN-Abs:1033:reference,1033,IN-Abs,train,9cb08d6ae63ad0779f98d1824795b07d7a1584e14316503567e343be901631e5,2,3,2676,205,2951,0.5809912766729083,0.4582386314868927,7,False
IN-Abs:1034:reference:chunk-0000,IN-Abs:1034:reference,1034,IN-Abs,train,951f24810988e8a4c98ee45bc3fe5be2e3cd37722e0dffc05a85c63c66157106,0,1,2662,511,3243,0.7867127358913422,0.7266714572906494,6,False
IN-Abs:1035:reference:chunk-0000,IN-Abs:1035:reference,1035,IN-Abs,train,611935e91780b7c3de2e1ccb0a79a272c258971a6c1454473a02c16a09afdfa3,0,2,2786,914,3770,0.634369130891103,0.2205706685781479,26,False
IN-Abs:1036:reference:chunk-0000,IN-Abs:1036:reference,1036,IN-Abs,train,8397e9625a6f7237bfa3f1df230585adc38291d79c1f6e3de5b950a2af559b5c,0,3,2782,710,3562,0.7073704921282254,0.5117617845535278,13,False
IN-Abs:1036:reference:chunk-0001,IN-Abs:1036:reference,1036,IN-Abs,train,8397e9625a6f7237bfa3f1df230585adc38291d79c1f6e3de5b950a2af559b5c,1,3,2782,70,2922,0.5697509547074636,0.4782048761844635,3,False
IN-Abs:1036:reference:chunk-0002,IN-Abs:1036:reference,1036,IN-Abs,train,8397e9625a6f7237bfa3f1df230585adc38291d79c1f6e3de5b950a2af559b5c,2,3,2671,122,2863,0.5911932051181793,0.47378501296043396,5,False
IN-Abs:104:reference:chunk-0000,IN-Abs:104:reference,104,IN-Abs,train,50007551941b49bc2a2a60edc0abd30e38e718db4e2ad79a212d1282b7a6877e,0,3,2734,158,2962,0.5519496440887451,0.3852476477622986,5,False
IN-Abs:104:reference:chunk-0001,IN-Abs:104:reference,104,IN-Abs,train,50007551941b49bc2a2a60edc0abd30e38e718db4e2ad79a212d1282b7a6877e,1,3,2789,389,3248,0.7389370322227478,0.5642237067222595,5,False
IN-Abs:104:reference:chunk-0002,IN-Abs:104:reference,104,IN-Abs,train,50007551941b49bc2a2a60edc0abd30e38e718db4e2ad79a212d1282b7a6877e,2,3,2117,258,2445,0.7323479205369949,0.6466675996780396,4,False
IN-Abs:1041:reference:chunk-0000,IN-Abs:1041:reference,1041,IN-Abs,train,b84b5dfc1badb90cc26df1062599979acd0631a3773cfb4b255677a89584fef4,0,1,2420,472,2962,0.5900688211123148,0.2312476933002472,15,False
IN-Abs:1042:reference:chunk-0000,IN-Abs:1042:reference,1042,IN-Abs,train,84372598f38d10a90d47784590b9267f4d70cbbc955848c6e9cbe246423c00df,0,1,2459,519,3048,0.5822984836995602,0.26365116238594055,16,False
IN-Abs:1044:reference:chunk-0000,IN-Abs:1044:reference,1044,IN-Abs,train,d089b4c2329f27bbdcfe864b3752371b49fa2063f9d0284bf2227b0f53527189,0,2,2716,249,3035,0.6193734066826957,0.4086977243423462,7,False
IN-Abs:1044:reference:chunk-0001,IN-Abs:1044:reference,1044,IN-Abs,train,d089b4c2329f27bbdcfe864b3752371b49fa2063f9d0284bf2227b0f53527189,1,2,910,92,1072,0.6666082938512167,0.6133953332901001,3,False
IN-Abs:1048:reference:chunk-0000,IN-Abs:1048:reference,1048,IN-Abs,train,7b928cb25b4c454dadf8ba780105273441d78c3ccaed0d945bc99f73ad078f7f,0,2,2777,204,3051,0.5234255519780245,0.2813084125518799,11,False
IN-Abs:1048:reference:chunk-0001,IN-Abs:1048:reference,1048,IN-Abs,train,7b928cb25b4c454dadf8ba780105273441d78c3ccaed0d945bc99f73ad078f7f,1,2,1714,461,2245,0.7163827021916708,0.5151116847991943,9,False
IN-Abs:1049:reference:chunk-0000,IN-Abs:1049:reference,1049,IN-Abs,train,9c15d85d9fbba691921a90cb86c2cbe1bf32cbd2f4ca801a1e428807791f1c84,0,2,2750,467,3287,0.5458765881402152,0.39837032556533813,14,False
IN-Abs:1049:reference:chunk-0001,IN-Abs:1049:reference,1049,IN-Abs,train,9c15d85d9fbba691921a90cb86c2cbe1bf32cbd2f4ca801a1e428807791f1c84,1,2,2574,998,3642,0.5412331504954232,0.3163241446018219,18,True
IN-Abs:105:reference:chunk-0000,IN-Abs:105:reference,105,IN-Abs,train,d4fa5daeece715aacb72874e045a66f13a128bec1b0ca8f710138cbc21463ad0,0,2,2683,283,3036,0.46244172006845474,0.21222585439682007,8,False
IN-Abs:105:reference:chunk-0001,IN-Abs:105:reference,105,IN-Abs,train,d4fa5daeece715aacb72874e045a66f13a128bec1b0ca8f710138cbc21463ad0,1,2,2413,101,2584,0.6503448486328125,0.5646004676818848,2,False
IN-Abs:1050:reference:chunk-0000,IN-Abs:1050:reference,1050,IN-Abs,train,c0dc6d9ab1ee20a0924f9d8bffd8781ee5ce5c160bb9bfe6c602f6cd4cec102b,0,1,2747,527,3344,0.6729902903238932,0.41015154123306274,15,False
IN-Abs:1052:reference:chunk-0000,IN-Abs:1052:reference,1052,IN-Abs,train,ab27ef35b171b6ffd388ae845b264f03aab078de83e7d5d597ffbf24fbb97145,0,3,2800,413,3283,0.6240047390262285,0.378902792930603,12,False
IN-Abs:1052:reference:chunk-0001,IN-Abs:1052:reference,1052,IN-Abs,train,ab27ef35b171b6ffd388ae845b264f03aab078de83e7d5d597ffbf24fbb97145,1,3,2773,321,3164,0.5414776756213262,0.20594200491905212,13,False
IN-Abs:1054:reference:chunk-0001,IN-Abs:1054:reference,1054,IN-Abs,train,76439c3a2694ee562bd9e042a5a977726a7740af145b3fcae3d9937fbb30231b,1,4,2752,128,2950,0.6861032247543335,0.5420397520065308,3,False
IN-Abs:1054:reference:chunk-0002,IN-Abs:1054:reference,1054,IN-Abs,train,76439c3a2694ee562bd9e042a5a977726a7740af145b3fcae3d9937fbb30231b,2,4,2773,21,2864,0.4699702858924866,0.4699702858924866,1,False
IN-Abs:1054:reference:chunk-0003,IN-Abs:1054:reference,1054,IN-Abs,train,76439c3a2694ee562bd9e042a5a977726a7740af145b3fcae3d9937fbb30231b,3,4,1128,296,1494,0.7372633963823318,0.5575519800186157,4,False
IN-Abs:1055:reference:chunk-0000,IN-Abs:1055:reference,1055,IN-Abs,train,ba43846c9f7a768f18f32e09d80042c9e419daaa081d8f4236e5a750134bebf1,0,2,2800,654,3524,0.653858782723546,0.3882155418395996,16,False
IN-Abs:1055:reference:chunk-0001,IN-Abs:1055:reference,1055,IN-Abs,train,ba43846c9f7a768f18f32e09d80042c9e419daaa081d8f4236e5a750134bebf1,1,2,270,29,369,0.5112701058387756,0.5112701058387756,1,False
IN-Abs:1057:reference:chunk-0000,IN-Abs:1057:reference,1057,IN-Abs,train,981b394c0b1acb265e250226a786373e2ca21212ad43b6d4d9849f4ab7faada4,0,1,2182,329,2581,0.6014906466007233,0.4137689769268036,14,False
IN-Abs:1058:reference:chunk-0000,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,0,8,2791,429,3290,0.6645501255989075,0.38311806321144104,13,False
IN-Abs:1058:reference:chunk-0001,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,1,8,2777,347,3194,0.7279725447297096,0.563643217086792,8,False
IN-Abs:1058:reference:chunk-0002,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,2,8,2789,347,3206,0.683825496584177,0.4451768696308136,8,False
IN-Abs:1058:reference:chunk-0003,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,3,8,2788,131,2989,0.7270417809486389,0.5450625419616699,4,False
IN-Abs:1058:reference:chunk-0004,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,4,8,2765,44,2879,0.6067838668823242,0.6067838668823242,1,False
IN-Abs:1058:reference:chunk-0005,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,5,8,2799,32,2901,0.4193052351474762,0.3884056806564331,3,False
IN-Abs:1058:reference:chunk-0006,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,6,8,2787,193,3050,0.6755939424037933,0.2310437560081482,6,False
IN-Abs:1058:reference:chunk-0007,IN-Abs:1058:reference,1058,IN-Abs,train,732d62bbe92b1598a36a369011852c465ebc07af29ece47cb3641a662a3902ad,7,8,355,40,465,0.7435592412948608,0.7435592412948608,1,False
IN-Abs:106:reference:chunk-0000,IN-Abs:106:reference,106,IN-Abs,train,22d971ded73cb347f8d082377f88ebad96e19845207eb7d0c1bb556633ff28d5,0,1,2480,175,2725,0.670428454875946,0.561242938041687,2,False
IN-Abs:1060:reference:chunk-0000,IN-Abs:1060:reference,1060,IN-Abs,train,8a0d88d6cc5cb36118fd4ac251d0c4f34fc50acb6f8a54a2751dba7cdd5a1f47,0,2,2772,459,3301,0.7494117617607117,0.616398811340332,8,False
IN-Abs:1060:reference:chunk-0001,IN-Abs:1060:reference,1060,IN-Abs,train,8a0d88d6cc5cb36118fd4ac251d0c4f34fc50acb6f8a54a2751dba7cdd5a1f47,1,2,467,72,609,0.6327704191207886,0.5396215915679932,2,False
IN-Abs:1061:reference:chunk-0000,IN-Abs:1061:reference,1061,IN-Abs,train,e73f74604794962f0398f3dfdc836357e4d868c5de7d2010ead27359e6d5f193,0,2,2789,428,3287,0.6012286822001139,0.2458382248878479,15,False
IN-Abs:1062:reference:chunk-0000,IN-Abs:1062:reference,1062,IN-Abs,train,057e119b029fbcc5213bec8b0ab8171f07c6efeac4154d0d764a15e1552c31e3,0,3,2782,45,2897,0.5708192884922028,0.5286450982093811,2,False
IN-Abs:1062:reference:chunk-0001,IN-Abs:1062:reference,1062,IN-Abs,train,057e119b029fbcc5213bec8b0ab8171f07c6efeac4154d0d764a15e1552c31e3,1,3,2736,188,2994,0.9123624563217163,0.9123624563217163,1,False
IN-Abs:1062:reference:chunk-0002,IN-Abs:1062:reference,1062,IN-Abs,train,057e119b029fbcc5213bec8b0ab8171f07c6efeac4154d0d764a15e1552c31e3,2,3,948,105,1123,0.6301958163579305,0.5925129652023315,3,False
IN-Abs:1063:reference:chunk-0000,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,0,6,2759,180,3009,0.6773640215396881,0.4816277027130127,2,False
IN-Abs:1063:reference:chunk-0001,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,1,6,2765,194,3029,0.6929277926683426,0.47389012575149536,4,False
IN-Abs:1063:reference:chunk-0002,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,2,6,2783,219,3072,0.7494924664497375,0.5697996616363525,3,False
IN-Abs:1063:reference:chunk-0003,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,3,6,2775,56,2901,0.8393033146858215,0.8393033146858215,1,False
IN-Abs:1063:reference:chunk-0004,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,4,6,2763,58,2891,0.44242753088474274,0.20573297142982483,2,False
IN-Abs:1063:reference:chunk-0005,IN-Abs:1063:reference,1063,IN-Abs,train,3add305f7835c1e0c0982baf9f7385783b92f030133ab2a2550bc14e05fbfd6f,5,6,1803,170,2043,0.6541888415813446,0.5792961120605469,4,False
IN-Abs:1064:reference:chunk-0000,IN-Abs:1064:reference,1064,IN-Abs,train,d5b9849034be85fcbfbe1ab74c08f22c6c754c3b26722493e616719ee7bf0248,0,3,2771,419,3260,0.7242238998413086,0.5409018993377686,5,False
IN-Abs:1064:reference:chunk-0001,IN-Abs:1064:reference,1064,IN-Abs,train,d5b9849034be85fcbfbe1ab74c08f22c6c754c3b26722493e616719ee7bf0248,1,3,2800,140,3010,0.8695593774318695,0.8362694978713989,2,False
IN-Abs:1064:reference:chunk-0002,IN-Abs:1064:reference,1064,IN-Abs,train,d5b9849034be85fcbfbe1ab74c08f22c6c754c3b26722493e616719ee7bf0248,2,3,2634,145,2849,0.8423928022384644,0.8423928022384644,1,False
IN-Abs:1065:reference:chunk-0000,IN-Abs:1065:reference,1065,IN-Abs,train,ec40461702cdae382911bc28c792b0028c97eb524fb5ca174edcf631dd3721ae,0,1,1830,345,2245,0.6237367888291677,0.4270259439945221,9,False
IN-Abs:1066:reference:chunk-0000,IN-Abs:1066:reference,1066,IN-Abs,train,c03474114009f1da3ae2ac3bd396961e55dd1dd5f1307970489f2ff41cf23813,0,3,2782,146,2998,0.5079367955525717,0.2630231976509094,6,False
IN-Abs:1066:reference:chunk-0001,IN-Abs:1066:reference,1066,IN-Abs,train,c03474114009f1da3ae2ac3bd396961e55dd1dd5f1307970489f2ff41cf23813,1,3,2703,172,2945,0.5327881574630737,0.35316911339759827,8,False
IN-Abs:1066:reference:chunk-0002,IN-Abs:1066:reference,1066,IN-Abs,train,c03474114009f1da3ae2ac3bd396961e55dd1dd5f1307970489f2ff41cf23813,2,3,708,63,841,0.8225713968276978,0.8225713968276978,1,False
IN-Abs:1067:reference:chunk-0000,IN-Abs:1067:reference,1067,IN-Abs,train,672c90c9359a743b5f6714dd2367a74cf74c952c1c193bb0f727ec45cd61b665,0,2,2619,399,3088,0.662642934105613,0.2686058282852173,11,False
IN-Abs:1067:reference:chunk-0001,IN-Abs:1067:reference,1067,IN-Abs,train,672c90c9359a743b5f6714dd2367a74cf74c952c1c193bb0f727ec45cd61b665,1,2,2446,290,2806,0.5309864959933541,0.3471747040748596,11,False
IN-Abs:1068:reference:chunk-0000,IN-Abs:1068:reference,1068,IN-Abs,train,0722d8e98512d95203beb9519997a49343e6fe3378dda0008314cd23e8eb31b7,0,1,2658,219,2947,0.7411507070064545,0.5974639654159546,4,False
IN-Abs:1069:reference:chunk-0000,IN-Abs:1069:reference,1069,IN-Abs,train,8c46709d96241cf99eae5f1031d3cd3c41218db2d7f2219a9be6bd0f445d0738,0,2,2788,430,3288,0.6038127665718397,0.31935447454452515,12,False
IN-Abs:107:reference:chunk-0000,IN-Abs:107:reference,107,IN-Abs,train,2228c57fe8f430d027314dd6e8df8fc02ed3be19b806132149108ca1138b714b,0,2,2753,388,3211,0.8062939643859863,0.7902644872665405,2,False
IN-Abs:107:reference:chunk-0001,IN-Abs:107:reference,107,IN-Abs,train,2228c57fe8f430d027314dd6e8df8fc02ed3be19b806132149108ca1138b714b,1,2,1234,237,1541,0.69560839732488,0.5499904155731201,3,False
IN-Abs:1070:reference:chunk-0000,IN-Abs:1070:reference,1070,IN-Abs,train,ceac481060d685574e5c979ed69553b65475b78863c426f14a2262e6f0ba861b,0,2,2780,250,3100,0.8270301520824432,0.71383136510849,4,False
IN-Abs:1070:reference:chunk-0001,IN-Abs:1070:reference,1070,IN-Abs,train,ceac481060d685574e5c979ed69553b65475b78863c426f14a2262e6f0ba861b,1,2,782,93,945,0.7585684657096863,0.7585684657096863,1,False
IN-Abs:1071:reference:chunk-0000,IN-Abs:1071:reference,1071,IN-Abs,train,f19892ae4b5e3ea2d0636b8355d0c38e5ea708a187434941e64e1bcbb311892a,0,2,2782,429,3281,0.5868034687909213,0.23558613657951355,11,False
IN-Abs:1071:reference:chunk-0001,IN-Abs:1071:reference,1071,IN-Abs,train,f19892ae4b5e3ea2d0636b8355d0c38e5ea708a187434941e64e1bcbb311892a,1,2,566,32,668,0.6373515427112579,0.6296490430831909,2,False
IN-Abs:1072:reference:chunk-0000,IN-Abs:1072:reference,1072,IN-Abs,train,69b65c176add62909f02540c0297c07bc144b5b522994cd721865bb6a731a935,0,1,2572,271,2913,0.5779269896447659,0.46003594994544983,8,False
IN-Abs:1073:reference:chunk-0000,IN-Abs:1073:reference,1073,IN-Abs,train,77f64334c55827f0ef55001b876235be350f4f2d30d999bc2914a0eef17cd2a5,0,1,2462,528,3060,0.5967869873230274,0.4837293028831482,13,False
IN-Abs:1074:reference:chunk-0000,IN-Abs:1074:reference,1074,IN-Abs,train,4b425ca2954b72febf736de694afebc0b17bdce4a72f1b351302d60ebe6413a6,0,3,2738,381,3189,0.6590319305658341,0.2970985174179077,10,False
