case_id,dataset,split,filename,judgment_member,judgment_encoding,judgment_hash,summary_count,judgment_characters,judgment_words,judgment_sentences,judgment_approx_tokens
2256,IN-Abs,test,2256.txt,dataset/IN-Abs/test-data/judgement/2256.txt,utf-8,1c8d79df000d03043346f4e545715b652536da6869a52583c9e64d6b036c735c,1,37067,6709,213,8722
2304,IN-Abs,test,2304.txt,dataset/IN-Abs/test-data/judgement/2304.txt,utf-8,0a87a683919635100b87435f46eca1049b205d6620ef14486d7951e226e269be,1,25294,4420,233,5746
232,IN-Abs,test,232.txt,dataset/IN-Abs/test-data/judgement/232.txt,utf-8,13c9ef698ae2e842fcdef3b89b6e49687416c3d43b856cc58d771aff35d1367b,1,167226,29040,926,37752
2392,IN-Abs,test,2392.txt,dataset/IN-Abs/test-data/judgement/2392.txt,utf-8,011d05bda0ab401d94a2284783abcb993eb75491f47c834817e0cc1d980c0517,1,14569,2568,122,3338
2440,IN-Abs,test,2440.txt,dataset/IN-Abs/test-data/judgement/2440.txt,utf-8,f7a5aada8e6fcc205a2b3ff84e94563e29b131e0064085b7c036fb1543a456c2,1,29493,5238,221,6809
2593,IN-Abs,test,2593.txt,dataset/IN-Abs/test-data/judgement/2593.txt,utf-8,1840ffd891b8edecbe08e7b624e50182a84d982016bb576bc92d72494a042c95,1,16159,2851,106,3706
2609,IN-Abs,test,2609.txt,dataset/IN-Abs/test-data/judgement/2609.txt,utf-8,b2bdf329c313874f13aedf074c29ae5777042a26d67c5bbedd439baf2b8fcb22,1,14232,2373,142,3085
2627,IN-Abs,test,2627.txt,dataset/IN-Abs/test-data/judgement/2627.txt,utf-8,4cbc33c4a572dac03c798f34e039e657a21d14dfb007ca8a7b4eccd49db0682e,1,16340,2881,110,3745
2649,IN-Abs,test,2649.txt,dataset/IN-Abs/test-data/judgement/2649.txt,utf-8,760918639d21c0a48a86f6a8fb915e19c9d10924ba9a1bdf0adf559288fdf7df,1,17800,3172,147,4124
2657,IN-Abs,test,2657.txt,dataset/IN-Abs/test-data/judgement/2657.txt,utf-8,53b6f4e9de17e17456b7c5e020b94ab68b4677a878ec5d1a96d0d90395f92652,1,14152,2499,112,3249
266,IN-Abs,test,266.txt,dataset/IN-Abs/test-data/judgement/266.txt,utf-8,14da39093976e9546e9137d99456a3de856d372536a91290a4aeff3f1a39512e,1,37593,6531,173,8490
2727,IN-Abs,test,2727.txt,dataset/IN-Abs/test-data/judgement/2727.txt,utf-8,ad90769c2671508ea7baac45c361c7b877226a3ac107ecde794bd1028f6a9ea7,1,8785,1536,66,1997
2796,IN-Abs,test,2796.txt,dataset/IN-Abs/test-data/judgement/2796.txt,utf-8,80c60888698602a5ab88db37624e9c594cd4e863671ff516ea613014f1f08ce7,1,7420,1331,72,1730
2913,IN-Abs,test,2913.txt,dataset/IN-Abs/test-data/judgement/2913.txt,utf-8,2196905b2f646b73c94427698b03e4b7a0673b7ce68f997ccf50227aadc61dc2,1,11694,2064,122,2683
3019,IN-Abs,test,3019.txt,dataset/IN-Abs/test-data/judgement/3019.txt,utf-8,c21a3be31c46c3f14d19a70daa0b15d056eba86b16d87c21a6ecb8a297927eaf,1,8620,1540,83,2002
314,IN-Abs,test,314.txt,dataset/IN-Abs/test-data/judgement/314.txt,utf-8,cffd3cd1ef480c9301e9a1eb5e6216fbc2f48fd4fff36b816cedc05cec4ce0ee,1,16613,2942,133,3825
3168,IN-Abs,test,3168.txt,dataset/IN-Abs/test-data/judgement/3168.txt,utf-8,f6839eaded29c945f75f9b6cd8222295b95f22e86553dcf245c6aae5626a17c9,1,18210,3307,136,4299
3210,IN-Abs,test,3210.txt,dataset/IN-Abs/test-data/judgement/3210.txt,utf-8,3bc8d6f9b48465e3d4194992dc00708fb6a6f80c9ab277a1bb20ce97421f1852,1,23015,3774,174,4906
3292,IN-Abs,test,3292.txt,dataset/IN-Abs/test-data/judgement/3292.txt,utf-8,cca330294cd1561fdae57219da8d10a7ca53279949d52190df15e86bef7bdb2e,1,9042,1666,66,2166
3356,IN-Abs,test,3356.txt,dataset/IN-Abs/test-data/judgement/3356.txt,utf-8,c940b17bd2d3f229debdc5839c791637255d1c0494cae29989e9aa918fe98e21,1,11043,1956,104,2543
3436,IN-Abs,test,3436.txt,dataset/IN-Abs/test-data/judgement/3436.txt,utf-8,90187564fcd402e7d5f78b154c6820ab830a1b3c3484bbe5684e4af0126ae55b,1,10436,1773,90,2305
3442,IN-Abs,test,3442.txt,dataset/IN-Abs/test-data/judgement/3442.txt,utf-8,d4439d4b5156918cbe8bf70db4a334e91db1da5b262b36c1eea391512064b504,1,31187,5336,236,6937
3531,IN-Abs,test,3531.txt,dataset/IN-Abs/test-data/judgement/3531.txt,utf-8,fafe92bda0b28e6ca95cc7e7b98c859fd68ab6be0f31a46baafb22f91fda558f,1,16406,2953,126,3839
3542,IN-Abs,test,3542.txt,dataset/IN-Abs/test-data/judgement/3542.txt,utf-8,9d1ce14d2a83d90d2abc75e668ec0dde159eee5a9e97215bc436bccd90ae5c59,1,13392,2350,105,3055
3602,IN-Abs,test,3602.txt,dataset/IN-Abs/test-data/judgement/3602.txt,utf-8,c04a12998c5650382a493cbb425b19aed04918597e894563598dc8c9f74318e9,1,11933,2063,105,2682
362,IN-Abs,test,362.txt,dataset/IN-Abs/test-data/judgement/362.txt,utf-8,a04b908664dd0d731c4b1512d8eadcae1e59ed14300067333ed649f997f67333,1,36640,6486,227,8432
380,IN-Abs,test,380.txt,dataset/IN-Abs/test-data/judgement/380.txt,utf-8,2863d9e1494c092c53b746b1060201259d04e2b12f2b3c0358aa0edaf18c9a8b,1,10850,1886,74,2452
3844,IN-Abs,test,3844.txt,dataset/IN-Abs/test-data/judgement/3844.txt,utf-8,ca8ac7017f65d664a460a2b9c7d976c57ef9cdb222c7cf9c76d6878bc8dc706c,1,19525,3429,127,4458
3893,IN-Abs,test,3893.txt,dataset/IN-Abs/test-data/judgement/3893.txt,utf-8,51b54f9833e9570c438679e9298ae66edf680e3437879347921f9e2211b33a5f,1,12446,2115,113,2750
3924,IN-Abs,test,3924.txt,dataset/IN-Abs/test-data/judgement/3924.txt,utf-8,cbaeec9c03f5f3401aa2e1f12b5732942f491fa2de6973777db31d0d63498e7d,1,15877,2885,228,3750
4071,IN-Abs,test,4071.txt,dataset/IN-Abs/test-data/judgement/4071.txt,utf-8,d9bf71285c752610a11131d029495c9e9c94032b055fb8f53ea9573e798546b2,1,14304,2520,100,3276
415,IN-Abs,test,415.txt,dataset/IN-Abs/test-data/judgement/415.txt,utf-8,778d5c50e3a0e73b7e595f3711bdae79def2e73e19463e4c8b92edfc1075b6bf,1,20193,3445,140,4478
4316,IN-Abs,test,4316.txt,dataset/IN-Abs/test-data/judgement/4316.txt,utf-8,48e7791fa1f7e03c25eb056273c277a6e7b47329a468d58ce00962984f352d51,1,40743,7009,385,9112
4451,IN-Abs,test,4451.txt,dataset/IN-Abs/test-data/judgement/4451.txt,utf-8,c37a15e570d3afafd3ff750b88a0fcbbe44db73da99e5098a17662623a7e36e5,1,9311,1586,74,2062
4480,IN-Abs,test,4480.txt,dataset/IN-Abs/test-data/judgement/4480.txt,utf-8,60e720aa1e36a42340d0064a2d5cd551b7df965f74b7f7ea54287fa438befab4,1,43018,7346,273,9550
4568,IN-Abs,test,4568.txt,dataset/IN-Abs/test-data/judgement/4568.txt,utf-8,97d5e904f11702bec7deb8d44b1139e4eef4a9aa9c46d33124d17badd3f9695d,1,57388,9358,422,12165
4641,IN-Abs,test,4641.txt,dataset/IN-Abs/test-data/judgement/4641.txt,utf-8,d2af8a30992d4c514c17f386564408f78bee2badaeb11b846e65f222cc5356be,1,41204,7144,242,9287
4782,IN-Abs,test,4782.txt,dataset/IN-Abs/test-data/judgement/4782.txt,utf-8,2ffff77893a95657b99bb0697db5eb988d2656741082798acdb930db10958c19,1,20986,3537,147,4598
4807,IN-Abs,test,4807.txt,dataset/IN-Abs/test-data/judgement/4807.txt,utf-8,9a834b72b39ac42ad0f6ac72cd34e24ec64fd7b410779a2ec8bf7e8f7e84c152,1,5579,1006,44,1308
4860,IN-Abs,test,4860.txt,dataset/IN-Abs/test-data/judgement/4860.txt,utf-8,29dd94eaefa7403d3a6b484a98b3a73c6066b5ef6885506ba1335ba81b54601a,1,13559,2527,126,3285
4917,IN-Abs,test,4917.txt,dataset/IN-Abs/test-data/judgement/4917.txt,utf-8,bf8e1e9d9f3fd7d6ac5ab1809cac9381c103d6983e03e5fe6b48df98b1a1ec6d,1,63909,10883,344,14148
4938,IN-Abs,test,4938.txt,dataset/IN-Abs/test-data/judgement/4938.txt,utf-8,fa0bbcc25e8c25d033ff581f6707b6df3c263fdcf141ab846c0062a8c90ba6da,1,10095,1734,68,2254
496,IN-Abs,test,496.txt,dataset/IN-Abs/test-data/judgement/496.txt,utf-8,1db0a15cb7d9a9b826c4eb78d3eb4d2f99d635432c221fa73d39cc594a1530b7,1,27461,4964,231,6453
4963,IN-Abs,test,4963.txt,dataset/IN-Abs/test-data/judgement/4963.txt,utf-8,24e028c5923a63a559e513187cb68621e68ff917a086d22395c03e8012db731f,1,7593,1338,51,1739
5141,IN-Abs,test,5141.txt,dataset/IN-Abs/test-data/judgement/5141.txt,utf-8,ab8f9d64d34532525eddca8ab03076694fb6fdf2c3d5e6c4d539e5798c2e3838,1,21875,3641,150,4733
5142,IN-Abs,test,5142.txt,dataset/IN-Abs/test-data/judgement/5142.txt,utf-8,9e614cce3a2964d824aa667b0d9d6509c518682f06bb9f531b5b477cb6a14ced,1,13922,2428,143,3156
5248,IN-Abs,test,5248.txt,dataset/IN-Abs/test-data/judgement/5248.txt,utf-8,5e1749bcbf050f4209ab8096ce31e23e3066c8425145f4f0abc2eba63c9c784b,1,21874,4067,179,5287
5266,IN-Abs,test,5266.txt,dataset/IN-Abs/test-data/judgement/5266.txt,utf-8,6945a1b02d287eaac018d8ee21eef68c12fb74d7a9700cf859385074e81167b3,1,109742,19125,791,24862
5364,IN-Abs,test,5364.txt,dataset/IN-Abs/test-data/judgement/5364.txt,utf-8,07c1c5680bc2b70e5744e8bf0d5ac81654bb73e2a760f1b0060a20480952470b,1,89821,15412,488,20036
5397,IN-Abs,test,5397.txt,dataset/IN-Abs/test-data/judgement/5397.txt,utf-8,c3da0fd9fae37d3ff04f4e9fd1348d2b155177a8e29674cc99b93a15052abec2,1,12664,2275,105,2958
5471,IN-Abs,test,5471.txt,dataset/IN-Abs/test-data/judgement/5471.txt,utf-8,027d8db242cdba24ecc67575a3ad7e41d3829375ed1c965e2db175858b555f93,1,22648,3907,158,5079
5538,IN-Abs,test,5538.txt,dataset/IN-Abs/test-data/judgement/5538.txt,utf-8,381ec643fe8b2ca8982788e76fa9817e316454ead043d8d2b32e7e5c37c88503,1,25490,4507,190,5859
5597,IN-Abs,test,5597.txt,dataset/IN-Abs/test-data/judgement/5597.txt,utf-8,3fe50a459874c866296ae4488e543b815db22af99671678fa5882bd532fc3dd6,1,20082,3660,80,4758
5707,IN-Abs,test,5707.txt,dataset/IN-Abs/test-data/judgement/5707.txt,utf-8,39590439105117bbacab59a5bdb1cde448be6a7ddc15cb4cc91456c27f758322,1,23706,3992,125,5190
5861,IN-Abs,test,5861.txt,dataset/IN-Abs/test-data/judgement/5861.txt,utf-8,81f449079376520254225e07a4a08c169f8b55dad36f378449ccb7bfe2c15de4,1,32895,5565,281,7234
5888,IN-Abs,test,5888.txt,dataset/IN-Abs/test-data/judgement/5888.txt,utf-8,d8738e0f0df19a706e33d6f4f8d76de86aa13b2ddda8e316689a35028eaef274,1,3366,593,34,771
5937,IN-Abs,test,5937.txt,dataset/IN-Abs/test-data/judgement/5937.txt,utf-8,3f13e733bf8aa5b5489e1da0aaef7f62eeb94d7a3ace6ce113ce6e37d596247d,1,2885,517,22,672
5994,IN-Abs,test,5994.txt,dataset/IN-Abs/test-data/judgement/5994.txt,utf-8,e397048d6aca757b3dc182ee3146e38c1f5f08bd81a3316725e012e969c24ba6,1,34219,6162,236,8011
6003,IN-Abs,test,6003.txt,dataset/IN-Abs/test-data/judgement/6003.txt,utf-8,bde0acc745b3261c63ce361471797699cf18064748c2391dae558b171a142ec8,1,35724,6519,228,8475
6118,IN-Abs,test,6118.txt,dataset/IN-Abs/test-data/judgement/6118.txt,utf-8,ebc53839ca84f32702dee6e0654fdce828b1ec58af228401ca3ac02770a2ab37,1,13454,2205,112,2866
6157,IN-Abs,test,6157.txt,dataset/IN-Abs/test-data/judgement/6157.txt,utf-8,1a15e0e3f29f532ea4e340d8d492ebb3c68856f16447bfeb3b8883b0b1e8cba7,1,48299,8580,305,11154
6245,IN-Abs,test,6245.txt,dataset/IN-Abs/test-data/judgement/6245.txt,utf-8,387500c9b97894c0ece35eb033edc08e4f23808083df96c63d73d46974ae8c08,1,3941,664,34,863
6270,IN-Abs,test,6270.txt,dataset/IN-Abs/test-data/judgement/6270.txt,utf-8,8ec8709a99b348391a0545e22304fb4ccc41ab352d1f3d724106312443071045,1,11821,2144,71,2787
6276,IN-Abs,test,6276.txt,dataset/IN-Abs/test-data/judgement/6276.txt,utf-8,4d921146a8c2c0032e3a3afd7b193d9a3af226e4c8e26a6cee927ec305b2a0cc,1,20832,3718,130,4833
6413,IN-Abs,test,6413.txt,dataset/IN-Abs/test-data/judgement/6413.txt,utf-8,44051a9796cb5b331246ef344e5ef42d918d7fda2953330160292d7995ce60b4,1,8093,1458,77,1895
652,IN-Abs,test,652.txt,dataset/IN-Abs/test-data/judgement/652.txt,utf-8,251fb8fa793d817971e94e2d605cb2aae0238c5bf3b7f75c54b174264d7ce4b3,1,36907,6228,239,8096
6521,IN-Abs,test,6521.txt,dataset/IN-Abs/test-data/judgement/6521.txt,utf-8,e8a9249e320aea48d78dc66ac15b07e9f3a6cb891751efe7adc6aedad89e04ce,1,58122,10500,408,13650
660,IN-Abs,test,660.txt,dataset/IN-Abs/test-data/judgement/660.txt,utf-8,2db0e1a89e5f47406c0dcd3b920daef9c31d6acd7ddd9bde1920a502104ad8ad,1,79306,14093,582,18321
6622,IN-Abs,test,6622.txt,dataset/IN-Abs/test-data/judgement/6622.txt,utf-8,6d24d0ff14bd2bc423e8f90668195931cbce0d76eb5037f333219707edd5094b,1,45763,8426,281,10954
6647,IN-Abs,test,6647.txt,dataset/IN-Abs/test-data/judgement/6647.txt,utf-8,d9436bdc6600e6fec098e77ac5fb44862b32a9ec13d9d77d885762144ecccb5f,1,34929,6049,219,7864
6668,IN-Abs,test,6668.txt,dataset/IN-Abs/test-data/judgement/6668.txt,utf-8,1ae53fd8f64775c80e2e14d997f028189289f0bbc1ef4ba743c923189c61df7e,1,8132,1462,77,1901
6728,IN-Abs,test,6728.txt,dataset/IN-Abs/test-data/judgement/6728.txt,utf-8,87632d93affe2e52e9cc1b2aecca84357098ce23adc3e0871959e90961a64514,1,5089,872,43,1134
6778,IN-Abs,test,6778.txt,dataset/IN-Abs/test-data/judgement/6778.txt,utf-8,5b1b2365b36ec8b07d7ba9d760cc0934954f4a9e24563e5ff66b0c2610848fd2,1,229986,39882,1318,51847
6852,IN-Abs,test,6852.txt,dataset/IN-Abs/test-data/judgement/6852.txt,utf-8,47c1b43a41956d3630133b404552b2514ac17047969380acdc42b7a031633185,1,10238,1782,81,2317
6881,IN-Abs,test,6881.txt,dataset/IN-Abs/test-data/judgement/6881.txt,utf-8,628c6ac17d5a3f76de5f2f0de40c04afba79635a8603afd556f72c69a334813f,1,16915,3090,81,4017
690,IN-Abs,test,690.txt,dataset/IN-Abs/test-data/judgement/690.txt,utf-8,3fe5b52594ca43da973a136562269c11dceb1f0d4d9c29ceca36cd63c1feb85c,1,22954,4142,189,5385
7109,IN-Abs,test,7109.txt,dataset/IN-Abs/test-data/judgement/7109.txt,utf-8,41e98b5ccb4b3b16cc78a61979984d92cb877f76f04635e02a72cfae1c967146,1,12026,2103,78,2734
7130,IN-Abs,test,7130.txt,dataset/IN-Abs/test-data/judgement/7130.txt,utf-8,c41f9524cf3b536d7e6fc52186a0a9cc6cfad940da81f4118bb3d0152ac5c2cf,1,36115,6375,224,8288
715,IN-Abs,test,715.txt,dataset/IN-Abs/test-data/judgement/715.txt,utf-8,94b63c639cbcf8e73594cc778a6090cdec073c7830b496861150feee9eee86ce,1,8192,1385,74,1800
78,IN-Abs,test,78.txt,dataset/IN-Abs/test-data/judgement/78.txt,utf-8,07ade2105805add53b954e3dd11922a44ab1141b9596c063a0f02f4985ad21c8,1,11612,2121,102,2757
784,IN-Abs,test,784.txt,dataset/IN-Abs/test-data/judgement/784.txt,utf-8,f6c0410cde597b1448d4383c722a2ad96ebd60082e270f6056c495c3fb6deea5,1,21783,3826,145,4974
1005,IN-Abs,train,1005.txt,dataset/IN-Abs/train-data/judgement/1005.txt,utf-8,aab5bf04fcb14c917fce4b50317fcc81e0e3b222ab26784efbdefe268d5a3b93,1,14724,2586,96,3362
1006,IN-Abs,train,1006.txt,dataset/IN-Abs/train-data/judgement/1006.txt,utf-8,be1fbed3138ab2c31a12645673a323e1e902b86df5c3d86b01267017fe1ba546,1,28302,4862,164,6321
1025,IN-Abs,train,1025.txt,dataset/IN-Abs/train-data/judgement/1025.txt,utf-8,b76e60ae0c1d88d119a8ad916954aabfbb8dfa9167b7614f60c22953cf26f8c3,1,13038,2273,102,2955
1029,IN-Abs,train,1029.txt,dataset/IN-Abs/train-data/judgement/1029.txt,utf-8,bca172e63f5e078528d3ddc71676c5067859d12f1dc04fced12c78467a129f52,1,7055,1225,59,1592
1031,IN-Abs,train,1031.txt,dataset/IN-Abs/train-data/judgement/1031.txt,utf-8,bca172e63f5e078528d3ddc71676c5067859d12f1dc04fced12c78467a129f52,1,7055,1225,59,1592
1035,IN-Abs,train,1035.txt,dataset/IN-Abs/train-data/judgement/1035.txt,utf-8,611935e91780b7c3de2e1ccb0a79a272c258971a6c1454473a02c16a09afdfa3,1,12387,2145,111,2788
1039,IN-Abs,train,1039.txt,dataset/IN-Abs/train-data/judgement/1039.txt,utf-8,a2783de75d39e3aaad951c2fce0615da87d6b89441a01cd14d2fd56d78f5ffe4,1,18388,3311,131,4304
1044,IN-Abs,train,1044.txt,dataset/IN-Abs/train-data/judgement/1044.txt,utf-8,d089b4c2329f27bbdcfe864b3752371b49fa2063f9d0284bf2227b0f53527189,1,14957,2686,125,3492
1078,IN-Abs,train,1078.txt,dataset/IN-Abs/train-data/judgement/1078.txt,utf-8,0225e3369f723bd4c32ad14cd433d9e87b684a5ee217070d7614aa167857e46b,1,12935,2253,94,2929
1088,IN-Abs,train,1088.txt,dataset/IN-Abs/train-data/judgement/1088.txt,utf-8,f1cb46175e22b2ca4f335366efb53c51d69a0100f2ba9540ab76c0a8aa1621da,1,15813,2723,110,3540
1095,IN-Abs,train,1095.txt,dataset/IN-Abs/train-data/judgement/1095.txt,utf-8,79cfc86eb6fc09a9e9acf89d904fdaefb561978b785114b21edd56c71ed863ec,1,16958,2973,127,3865
1097,IN-Abs,train,1097.txt,dataset/IN-Abs/train-data/judgement/1097.txt,utf-8,a2d69404bbda1ee0cb76c6dcbc2e2557dfe863bb2c22cace97700b47dce15ae9,1,23176,4033,140,5243
1102,IN-Abs,train,1102.txt,dataset/IN-Abs/train-data/judgement/1102.txt,utf-8,28e2ee878ff6f889b4c8e5dd6a239f96e49ad3330730b23bd01862cb697ffb18,1,31417,5382,204,6997
1103,IN-Abs,train,1103.txt,dataset/IN-Abs/train-data/judgement/1103.txt,utf-8,bab17107f186dd8029a43977072378671570625f7a3b5257132d173921c83736,1,15101,2611,112,3394
112,IN-Abs,train,112.txt,dataset/IN-Abs/train-data/judgement/112.txt,utf-8,25976c980aba0993c83906f9020aaf23a70de6d5683566bd69eceb3390843484,1,21930,3815,176,4960
1128,IN-Abs,train,1128.txt,dataset/IN-Abs/train-data/judgement/1128.txt,utf-8,22bd4ae797aa8b176f56802b85aa8cacbf38c6daff73f7a5191527df9b471d8d,1,14871,2649,148,3444
1133,IN-Abs,train,1133.txt,dataset/IN-Abs/train-data/judgement/1133.txt,utf-8,f79264d4e7d2989ccb92f9356b9fe342ae46e9cb459b96259c6aa7ae6ac424ab,1,14549,2483,103,3228
1142,IN-Abs,train,1142.txt,dataset/IN-Abs/train-data/judgement/1142.txt,utf-8,4093a8b04eb7212249a7f7633eaa4da28d1f076d1579469fc6814b63a0c4391f,1,48556,8723,485,11340
1145,IN-Abs,train,1145.txt,dataset/IN-Abs/train-data/judgement/1145.txt,utf-8,672096b6c7583f53d7f94044ca2ea0267a2633e7b09ac85a3b8b85cc945fbd2a,1,45165,8013,336,10417
1160,IN-Abs,train,1160.txt,dataset/IN-Abs/train-data/judgement/1160.txt,utf-8,154820851b73cfdb8928c5798ef7527d4f734c9be11f9aa7c3828b70a76a38e5,1,16263,2837,126,3688
1161,IN-Abs,train,1161.txt,dataset/IN-Abs/train-data/judgement/1161.txt,utf-8,71a74aafbeb1c4bc35a0a57c10816e5bf31b7f6ee1955e45abc7819ae89b479f,1,22555,4093,173,5321
1177,IN-Abs,train,1177.txt,dataset/IN-Abs/train-data/judgement/1177.txt,utf-8,619cef0c1855084ab623d51c9878d4acb60fb2415434bc44ab96be2ab16bbdb7,1,12056,2100,86,2730
1197,IN-Abs,train,1197.txt,dataset/IN-Abs/train-data/judgement/1197.txt,utf-8,59986179383dcc9e7eb20bb2e3ea96707cdbb12da4246df9344c4375131bac6a,1,29080,5203,272,6764
1205,IN-Abs,train,1205.txt,dataset/IN-Abs/train-data/judgement/1205.txt,utf-8,69051883a51057aa8f1024affb1bc51cf90212fce5a5480ec998b9e0d0955a4f,1,15849,2889,116,3756
1217,IN-Abs,train,1217.txt,dataset/IN-Abs/train-data/judgement/1217.txt,utf-8,cfa2d36d321f09021fa40aa0546962e04c40127a5c6564bda1d7085232d34a3b,1,7063,1294,78,1682
1224,IN-Abs,train,1224.txt,dataset/IN-Abs/train-data/judgement/1224.txt,utf-8,3a7ba86041ce72264f1aed1d671c117e4e88bc9c5f3b2e92e850f2f41b95f4cb,1,6398,1109,72,1442
1229,IN-Abs,train,1229.txt,dataset/IN-Abs/train-data/judgement/1229.txt,utf-8,ff039af1f685630cd4d64f28d2db93e6758a4b87dafde44ccb4faf8c5879c046,1,22311,3997,179,5196
123,IN-Abs,train,123.txt,dataset/IN-Abs/train-data/judgement/123.txt,utf-8,19333c627b4846da35eae3ef54431d725e06fa689db6f9d1c94376461d8d1192,1,8553,1514,68,1968
1233,IN-Abs,train,1233.txt,dataset/IN-Abs/train-data/judgement/1233.txt,utf-8,c1e84aecadcacd1b5a3d25133848b7fb909c21ee91edcc5cd0974750d7bcf2ae,1,13764,2458,104,3195
1243,IN-Abs,train,1243.txt,dataset/IN-Abs/train-data/judgement/1243.txt,utf-8,f52b9f776b3143e7b2d34b728db0a6cd29ae295df21d6f350f170de2a2b6f5e2,1,2268,380,27,494
1244,IN-Abs,train,1244.txt,dataset/IN-Abs/train-data/judgement/1244.txt,utf-8,774fa6d320e46382881c030664473ab5c1fd5e2ac899846482f4510ff2fd81bf,1,15961,2828,110,3676
1253,IN-Abs,train,1253.txt,dataset/IN-Abs/train-data/judgement/1253.txt,utf-8,7c58e438258f941441c6e24721fcb9547e7cf0b925867e9e3500b001687a1b45,1,18176,3221,119,4187
1263,IN-Abs,train,1263.txt,dataset/IN-Abs/train-data/judgement/1263.txt,utf-8,497c837495a5ab56a3973f8d5e7348b9230233203ce6f100bca284a986d22e6b,1,9781,1750,93,2275
1265,IN-Abs,train,1265.txt,dataset/IN-Abs/train-data/judgement/1265.txt,utf-8,2706c565a68b5beecebea6a174e3681977ffc90b8f3d0fb24688973e5fd4c7b2,1,8490,1487,68,1933
