pair_id,case_id,dataset,split,author,judgment_member,summary_member,judgment_hash,summary_hash,judgment_characters,judgment_words,judgment_sentences,judgment_approx_tokens,summary_characters,summary_words,summary_sentences,summary_approx_tokens,compression_ratio_words,combined_approx_tokens
IN-Abs:test:1974:nan,1974,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/1974.txt,dataset/IN-Abs/test-data/summary/1974.txt,947b9561b0fab4fcecc8d292fa34f47257350a90e8248315bb7ea57208ff92fc,7c7c7615fa48a62b70077aa5d5d512c8e19f1a065651e643daa619c6a37f3241,15924,2799,111,3639,3101,536,25,697,0.19149696320114326,4336
IN-Abs:test:2035:nan,2035,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2035.txt,dataset/IN-Abs/test-data/summary/2035.txt,a6597d0466b477b0cb758546ebc4d98bacdab6813347a42f0abf6cd445af20fd,4b1c2188d5f64e76a4adbff907495df9c6722d45851e9afb340837e592a4f583,25455,4739,236,6161,2889,552,16,718,0.11648027009917704,6879
IN-Abs:test:2052:nan,2052,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2052.txt,dataset/IN-Abs/test-data/summary/2052.txt,2bfbdcdb7e2f3862bb8cf57c3410a7e60d6b20bc06cb257811898edada1919b7,0473907cd5b2ad9207d959a35e077813bd25356b1376b56d54d47f15b6529683,19538,3654,256,4750,3900,748,62,972,0.2047071702244116,5722
IN-Abs:test:2065:nan,2065,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2065.txt,dataset/IN-Abs/test-data/summary/2065.txt,744042bef130c74795c13ed4fdbda58bc57a28881e1ba7233d2beb653ec7acf7,c190a68eb6f95523882b8eb0466088c137a8eb82a511eaa87a51ca690168125c,31648,5535,242,7196,3615,613,21,797,0.11074977416440832,7993
IN-Abs:test:2122:nan,2122,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2122.txt,dataset/IN-Abs/test-data/summary/2122.txt,2957054ce0f53176f7efd976088721e2c15abd7dbd1a2d9acbc00a5f4ccbb96e,f1746e83cf34dac2172170dde7450c238264ea6639702ca3bccfc835d2f548ca,80229,13911,734,18084,22380,3891,152,5058,0.27970670692257926,23142
IN-Abs:test:2124:nan,2124,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2124.txt,dataset/IN-Abs/test-data/summary/2124.txt,89374db428170412735410e241021bfa812415e802c01557921da20a026f5281,8b31259ef3ee19b3d4a2c02a4f86bbe606206f59347d10568542ea903d743384,14929,2642,139,3435,907,162,5,211,0.061317183951551855,3646
IN-Abs:test:2207:nan,2207,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2207.txt,dataset/IN-Abs/test-data/summary/2207.txt,f8a3e334f7b95a2a2f0bc1fe9a751e988f9d6bce7ab4541c6cc56e30d6315396,9d21659fdda452b71d0b71a2e4ecc760ad5f1e05984be9b974170a14c90bde1e,12783,2318,100,3013,4033,727,19,945,0.31363244176013805,3958
IN-Abs:test:2248:nan,2248,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2248.txt,dataset/IN-Abs/test-data/summary/2248.txt,b69931e554e2d60cff0bd549206769faf2108bf0d0a1ac8744fcecf3330d3698,c6753a6fa18912593f4ba1179583a24dfaf5aa7e2fba86e0c0ecf3a4cfc31e28,21867,3951,198,5136,3127,572,43,744,0.14477347506960264,5880
IN-Abs:test:2256:nan,2256,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2256.txt,dataset/IN-Abs/test-data/summary/2256.txt,1c8d79df000d03043346f4e545715b652536da6869a52583c9e64d6b036c735c,cec14dad6433e19215a686c7cf6a33339f695d2e78ab0bf2b534fee343608b0d,37067,6709,213,8722,3817,673,34,875,0.10031301237144134,9597
IN-Abs:test:2304:nan,2304,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2304.txt,dataset/IN-Abs/test-data/summary/2304.txt,0a87a683919635100b87435f46eca1049b205d6620ef14486d7951e226e269be,3200b193feed7400718328d477923124b1e48fdf852e04f3fcad9bf63f431090,25294,4420,233,5746,4900,846,52,1100,0.19140271493212668,6846
IN-Abs:test:232:nan,232,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/232.txt,dataset/IN-Abs/test-data/summary/232.txt,13c9ef698ae2e842fcdef3b89b6e49687416c3d43b856cc58d771aff35d1367b,7cf138273609f6664825f806b9aa241d5d5a3ac8505a3bc24c0fbee1d8c8a493,167226,29040,926,37752,10856,1877,58,2440,0.06463498622589532,40192
IN-Abs:test:2392:nan,2392,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2392.txt,dataset/IN-Abs/test-data/summary/2392.txt,011d05bda0ab401d94a2284783abcb993eb75491f47c834817e0cc1d980c0517,a96e537f9158d4395e5e02e21b4502239b1d9b2fb4c27844c18c1e74dc394fe1,14569,2568,122,3338,2685,476,15,619,0.1853582554517134,3957
IN-Abs:test:2440:nan,2440,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2440.txt,dataset/IN-Abs/test-data/summary/2440.txt,f7a5aada8e6fcc205a2b3ff84e94563e29b131e0064085b7c036fb1543a456c2,fd53032425df293d3765e7e5e6bedc1c875f1cbad77d1a3250a62a1bc4b2f41e,29493,5238,221,6809,6532,1154,39,1500,0.2203130966017564,8309
IN-Abs:test:2593:nan,2593,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2593.txt,dataset/IN-Abs/test-data/summary/2593.txt,1840ffd891b8edecbe08e7b624e50182a84d982016bb576bc92d72494a042c95,5f2177209467a5b5f4bd8b0bd1ee1a80d2fc58351b25afaafe6607c3424f7963,16159,2851,106,3706,3547,627,24,815,0.2199228340933006,4521
IN-Abs:test:2609:nan,2609,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2609.txt,dataset/IN-Abs/test-data/summary/2609.txt,b2bdf329c313874f13aedf074c29ae5777042a26d67c5bbedd439baf2b8fcb22,2e161bb5700763142190e6916ed9698fc6062dfada8ca204f4c19cbfa970e379,14232,2373,142,3085,2085,345,13,448,0.14538558786346398,3533
IN-Abs:test:2627:nan,2627,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2627.txt,dataset/IN-Abs/test-data/summary/2627.txt,4cbc33c4a572dac03c798f34e039e657a21d14dfb007ca8a7b4eccd49db0682e,3a700c5543e689fa7a635efd42ad70760fa8f0eae62fee75d924b4bbead4e7c3,16340,2881,110,3745,4132,747,45,971,0.2592849704963554,4716
IN-Abs:test:2649:nan,2649,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2649.txt,dataset/IN-Abs/test-data/summary/2649.txt,760918639d21c0a48a86f6a8fb915e19c9d10924ba9a1bdf0adf559288fdf7df,f6386aa39ab36989064509c6e9886aa5c8a21eb9b444dcd658c934cb1dcd230f,17800,3172,147,4124,2639,466,21,606,0.14691046658259774,4730
IN-Abs:test:2657:nan,2657,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2657.txt,dataset/IN-Abs/test-data/summary/2657.txt,53b6f4e9de17e17456b7c5e020b94ab68b4677a878ec5d1a96d0d90395f92652,f4ff46de050e1d26bb8989763176ef8c1fab783ac230c5c90e166d9aa16cecdd,14152,2499,112,3249,2562,439,23,571,0.1756702681072429,3820
IN-Abs:test:266:nan,266,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/266.txt,dataset/IN-Abs/test-data/summary/266.txt,14da39093976e9546e9137d99456a3de856d372536a91290a4aeff3f1a39512e,6031cba5f30eff7c2c220e3f505a86fe0b728c9d130ef2689a0bb4072766ba4b,37593,6531,173,8490,2343,410,7,533,0.06277752258459654,9023
IN-Abs:test:2727:nan,2727,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2727.txt,dataset/IN-Abs/test-data/summary/2727.txt,ad90769c2671508ea7baac45c361c7b877226a3ac107ecde794bd1028f6a9ea7,77c396333e8752d5894531f9457e9c08f1335789f16b53c6a539d8f7bd76c1fa,8785,1536,66,1997,1779,318,16,413,0.20703125,2410
IN-Abs:test:2796:nan,2796,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2796.txt,dataset/IN-Abs/test-data/summary/2796.txt,80c60888698602a5ab88db37624e9c594cd4e863671ff516ea613014f1f08ce7,abb646ac75d46a021802931dcb43cb52909a86109b9422e889407552a5c869cc,7420,1331,72,1730,2696,476,17,619,0.35762584522915103,2349
IN-Abs:test:2913:nan,2913,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/2913.txt,dataset/IN-Abs/test-data/summary/2913.txt,2196905b2f646b73c94427698b03e4b7a0673b7ce68f997ccf50227aadc61dc2,61a2c848e153caf757a48531f5171d2d4750dfb25141d3430b9732d7d4532434,11694,2064,122,2683,2867,487,27,633,0.23594961240310078,3316
IN-Abs:test:3019:nan,3019,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3019.txt,dataset/IN-Abs/test-data/summary/3019.txt,c21a3be31c46c3f14d19a70daa0b15d056eba86b16d87c21a6ecb8a297927eaf,0e241cdb91d86e6564399fd84b9fd9d4b816a780a92af6fc5c736ae5b9ec7b29,8620,1540,83,2002,1550,271,10,352,0.17597402597402598,2354
IN-Abs:test:314:nan,314,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/314.txt,dataset/IN-Abs/test-data/summary/314.txt,cffd3cd1ef480c9301e9a1eb5e6216fbc2f48fd4fff36b816cedc05cec4ce0ee,4e4d9aec695e989f687a64d65b12069f5825c68d95b96cf5f9735e14d93d6475,16613,2942,133,3825,1451,269,19,350,0.09143439836845683,4175
IN-Abs:test:3168:nan,3168,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3168.txt,dataset/IN-Abs/test-data/summary/3168.txt,f6839eaded29c945f75f9b6cd8222295b95f22e86553dcf245c6aae5626a17c9,0527b981b4e7df7caaacd64a004bc8e73d6e24cbe04d5c95b57e25e39c695734,18210,3307,136,4299,4185,751,39,976,0.22709404293921984,5275
IN-Abs:test:3210:nan,3210,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3210.txt,dataset/IN-Abs/test-data/summary/3210.txt,3bc8d6f9b48465e3d4194992dc00708fb6a6f80c9ab277a1bb20ce97421f1852,0beb7ca813dc01a23999b773cc728878b2e05824e746dc8d2376d7f9a4382f8a,23015,3774,174,4906,3579,593,26,771,0.15712771595124536,5677
IN-Abs:test:3292:nan,3292,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3292.txt,dataset/IN-Abs/test-data/summary/3292.txt,cca330294cd1561fdae57219da8d10a7ca53279949d52190df15e86bef7bdb2e,834d2b5a7f0f19eea03ad0d08bfd340e7da0e77a4d23e17b91eef67e709d9837,9042,1666,66,2166,3158,582,32,757,0.34933973589435774,2923
IN-Abs:test:3356:nan,3356,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3356.txt,dataset/IN-Abs/test-data/summary/3356.txt,c940b17bd2d3f229debdc5839c791637255d1c0494cae29989e9aa918fe98e21,726de8fb948bcc637b6d5c1702139ae2c8fbe3954c6340b4233878d5c1d10821,11043,1956,104,2543,2070,363,20,472,0.18558282208588958,3015
IN-Abs:test:3436:nan,3436,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3436.txt,dataset/IN-Abs/test-data/summary/3436.txt,90187564fcd402e7d5f78b154c6820ab830a1b3c3484bbe5684e4af0126ae55b,a5397a5490d5f3bf35b4616142760c2c07346d38d993287ee5c55ea519660469,10436,1773,90,2305,1861,313,16,407,0.17653694303440495,2712
IN-Abs:test:3442:nan,3442,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3442.txt,dataset/IN-Abs/test-data/summary/3442.txt,d4439d4b5156918cbe8bf70db4a334e91db1da5b262b36c1eea391512064b504,abd713be1bba8aeb3e6418f02959c569a2c9ba5b6beaf32c60b7826c1a0f1827,31187,5336,236,6937,3872,665,31,864,0.12462518740629686,7801
IN-Abs:test:3531:nan,3531,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3531.txt,dataset/IN-Abs/test-data/summary/3531.txt,fafe92bda0b28e6ca95cc7e7b98c859fd68ab6be0f31a46baafb22f91fda558f,a52376d7804262dbfcb8fd7ba2f52ce5586538479106ee1a3c4a34e4437f0f09,16406,2953,126,3839,3475,621,19,807,0.21029461564510668,4646
IN-Abs:test:3542:nan,3542,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3542.txt,dataset/IN-Abs/test-data/summary/3542.txt,9d1ce14d2a83d90d2abc75e668ec0dde159eee5a9e97215bc436bccd90ae5c59,04ba70ec8fc981f8e772ffaecd4f22547a0fc87886fa15385c7c2e0bbc8b3305,13392,2350,105,3055,1566,263,11,342,0.11191489361702128,3397
IN-Abs:test:3602:nan,3602,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3602.txt,dataset/IN-Abs/test-data/summary/3602.txt,c04a12998c5650382a493cbb425b19aed04918597e894563598dc8c9f74318e9,dd9fe370b0208c47c0b0077d0df70adfc16750eda6a7dad3432969a8033c9c67,11933,2063,105,2682,2316,416,28,541,0.20164808531265146,3223
IN-Abs:test:362:nan,362,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/362.txt,dataset/IN-Abs/test-data/summary/362.txt,a04b908664dd0d731c4b1512d8eadcae1e59ed14300067333ed649f997f67333,8f5699a33fec40d26d108e4feacd1184cb95c72edbbbdcc01261f39b1716ec98,36640,6486,227,8432,5952,1056,20,1373,0.16281221091581868,9805
IN-Abs:test:380:nan,380,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/380.txt,dataset/IN-Abs/test-data/summary/380.txt,2863d9e1494c092c53b746b1060201259d04e2b12f2b3c0358aa0edaf18c9a8b,3607e24a52db6eaa4bf45d69fdd85328651892991eb3e7c4d1975829892cd288,10850,1886,74,2452,1720,307,8,399,0.1627783669141039,2851
IN-Abs:test:3844:nan,3844,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3844.txt,dataset/IN-Abs/test-data/summary/3844.txt,ca8ac7017f65d664a460a2b9c7d976c57ef9cdb222c7cf9c76d6878bc8dc706c,3c7f45815ed6da43e4047ff85978bc826ffe548e69229afb4e4dbeadaa15de38,19525,3429,127,4458,8354,1461,61,1899,0.42607174103237094,6357
IN-Abs:test:3893:nan,3893,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3893.txt,dataset/IN-Abs/test-data/summary/3893.txt,51b54f9833e9570c438679e9298ae66edf680e3437879347921f9e2211b33a5f,a4359572ff71bf76469c68b6d51d524fb824fb935d0c7aa7b1456b54205328e1,12446,2115,113,2750,5567,958,41,1245,0.4529550827423168,3995
IN-Abs:test:3924:nan,3924,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/3924.txt,dataset/IN-Abs/test-data/summary/3924.txt,cbaeec9c03f5f3401aa2e1f12b5732942f491fa2de6973777db31d0d63498e7d,28c23b1dec6609394ca8506c59606a14fd32f1d9e487f7f399313b427f7f06c3,15877,2885,228,3750,4436,765,25,994,0.2651646447140381,4744
IN-Abs:test:4071:nan,4071,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4071.txt,dataset/IN-Abs/test-data/summary/4071.txt,d9bf71285c752610a11131d029495c9e9c94032b055fb8f53ea9573e798546b2,6379aaf1e2c992ced9c40a91b6179f44c650ffe34407e326a3181d788f502d8d,14304,2520,100,3276,3863,662,27,861,0.2626984126984127,4137
IN-Abs:test:415:nan,415,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/415.txt,dataset/IN-Abs/test-data/summary/415.txt,778d5c50e3a0e73b7e595f3711bdae79def2e73e19463e4c8b92edfc1075b6bf,35d2da3914eb9ea09840f274dc7b071466d919bac1a2e8eaecd768f3692fe888,20193,3445,140,4478,1837,307,10,399,0.08911465892597968,4877
IN-Abs:test:4316:nan,4316,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4316.txt,dataset/IN-Abs/test-data/summary/4316.txt,48e7791fa1f7e03c25eb056273c277a6e7b47329a468d58ce00962984f352d51,b0324c061f6ca39d7c87ac3254ffc9043624728babf72734349149f20c49b170,40743,7009,385,9112,9977,1710,73,2223,0.24397203595377373,11335
IN-Abs:test:4451:nan,4451,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4451.txt,dataset/IN-Abs/test-data/summary/4451.txt,c37a15e570d3afafd3ff750b88a0fcbbe44db73da99e5098a17662623a7e36e5,b3fdeb32c8f4de199c6ceeb27cc45bf35f29536338418453be57723d30f10ca1,9311,1586,74,2062,3397,575,23,748,0.362547288776797,2810
IN-Abs:test:4480:nan,4480,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4480.txt,dataset/IN-Abs/test-data/summary/4480.txt,60e720aa1e36a42340d0064a2d5cd551b7df965f74b7f7ea54287fa438befab4,28cb09f37ff2b03c839fb90378fa3039fa5d9a9a807834581250fe390ddec98a,43018,7346,273,9550,13184,2286,74,2972,0.3111897631364008,12522
IN-Abs:test:4568:nan,4568,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4568.txt,dataset/IN-Abs/test-data/summary/4568.txt,97d5e904f11702bec7deb8d44b1139e4eef4a9aa9c46d33124d17badd3f9695d,72cfb1e7ffd396d9c855a9dd564ab793813ed171ff8788ac549b2fafc6cc48f4,57388,9358,422,12165,5900,999,39,1299,0.10675357982474888,13464
IN-Abs:test:4641:nan,4641,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4641.txt,dataset/IN-Abs/test-data/summary/4641.txt,d2af8a30992d4c514c17f386564408f78bee2badaeb11b846e65f222cc5356be,2f5fdf86b05dfcfb9c8d4a3596cea469768c8d1f77109d1708b22a0af5a298eb,41204,7144,242,9287,8421,1455,41,1892,0.2036674132138858,11179
IN-Abs:test:4782:nan,4782,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4782.txt,dataset/IN-Abs/test-data/summary/4782.txt,2ffff77893a95657b99bb0697db5eb988d2656741082798acdb930db10958c19,bff0d6e3743680b99fec2226f62e518e0a7178a424c654efe43851a21d911800,20986,3537,147,4598,4372,726,30,944,0.20525869380831213,5542
IN-Abs:test:4807:nan,4807,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4807.txt,dataset/IN-Abs/test-data/summary/4807.txt,9a834b72b39ac42ad0f6ac72cd34e24ec64fd7b410779a2ec8bf7e8f7e84c152,7c3e3fdf42423bd16ddc4fe6db704db38ca2cc750e0ef63c77085ce519664a6d,5579,1006,44,1308,3022,550,21,715,0.5467196819085487,2023
IN-Abs:test:4860:nan,4860,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4860.txt,dataset/IN-Abs/test-data/summary/4860.txt,29dd94eaefa7403d3a6b484a98b3a73c6066b5ef6885506ba1335ba81b54601a,474fec9f870a363c65f86ca6c5594b337ddae7d7499d3dbbde338e58d38b5a49,13559,2527,126,3285,4590,843,57,1096,0.333597150771666,4381
IN-Abs:test:4917:nan,4917,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4917.txt,dataset/IN-Abs/test-data/summary/4917.txt,bf8e1e9d9f3fd7d6ac5ab1809cac9381c103d6983e03e5fe6b48df98b1a1ec6d,b9337dc546a2685035bc5d50da020458646588a11f850c9a2004db0ba569ed92,63909,10883,344,14148,19048,3307,106,4299,0.30386841863456765,18447
IN-Abs:test:4938:nan,4938,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4938.txt,dataset/IN-Abs/test-data/summary/4938.txt,fa0bbcc25e8c25d033ff581f6707b6df3c263fdcf141ab846c0062a8c90ba6da,7caa398dc023a4b66aa8806e57499f1529bb9dc3f19f9322bdd6bfc222dbc43f,10095,1734,68,2254,5350,897,25,1166,0.5173010380622838,3420
IN-Abs:test:496:nan,496,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/496.txt,dataset/IN-Abs/test-data/summary/496.txt,1db0a15cb7d9a9b826c4eb78d3eb4d2f99d635432c221fa73d39cc594a1530b7,79117d6ee7b739219ba47d8c9eea2e83de9e1f88f7d7f39076e67fda18c0593b,27461,4964,231,6453,2486,430,19,559,0.08662369057211926,7012
IN-Abs:test:4963:nan,4963,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/4963.txt,dataset/IN-Abs/test-data/summary/4963.txt,24e028c5923a63a559e513187cb68621e68ff917a086d22395c03e8012db731f,a12f61ece00607ec54e97a783cd1c52e7b6f7dbd4b0c6f897c783ae2c34b6962,7593,1338,51,1739,3508,598,27,777,0.4469357249626308,2516
IN-Abs:test:5141:nan,5141,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5141.txt,dataset/IN-Abs/test-data/summary/5141.txt,ab8f9d64d34532525eddca8ab03076694fb6fdf2c3d5e6c4d539e5798c2e3838,b60d1dabb4f4d4c378a812599adb0b13edfdec8a425f537271e44b5605f588bc,21875,3641,150,4733,5554,924,28,1201,0.2537764350453172,5934
IN-Abs:test:5142:nan,5142,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5142.txt,dataset/IN-Abs/test-data/summary/5142.txt,9e614cce3a2964d824aa667b0d9d6509c518682f06bb9f531b5b477cb6a14ced,1d972bf9028aa209137832285b62b6bb444ccf0320c4fa9831ca4b676d17b555,13922,2428,143,3156,3613,596,24,775,0.24546952224052718,3931
IN-Abs:test:5248:nan,5248,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5248.txt,dataset/IN-Abs/test-data/summary/5248.txt,5e1749bcbf050f4209ab8096ce31e23e3066c8425145f4f0abc2eba63c9c784b,8b37f7625637cbf40b475d214beb1cb7cecf35a0cddff21af678a13816c2f822,21874,4067,179,5287,6126,1094,47,1422,0.26899434472584216,6709
IN-Abs:test:5266:nan,5266,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5266.txt,dataset/IN-Abs/test-data/summary/5266.txt,6945a1b02d287eaac018d8ee21eef68c12fb74d7a9700cf859385074e81167b3,523aa505b2c4cdb2c3d3988367d88fa631317540271cc2da6bf47b6b10a926e4,109742,19125,791,24862,35261,6124,233,7961,0.32020915032679736,32823
IN-Abs:test:5364:nan,5364,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5364.txt,dataset/IN-Abs/test-data/summary/5364.txt,07c1c5680bc2b70e5744e8bf0d5ac81654bb73e2a760f1b0060a20480952470b,42d01ed56f44556c055341ace3bab5670ac70eaf9601406b2399ff8c6f2150d3,89821,15412,488,20036,19028,3300,98,4290,0.21411886841422267,24326
IN-Abs:test:5397:nan,5397,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5397.txt,dataset/IN-Abs/test-data/summary/5397.txt,c3da0fd9fae37d3ff04f4e9fd1348d2b155177a8e29674cc99b93a15052abec2,93c9eced556b584691c3b4d5bc201d1d39c02564624265733af3bd27b14fa530,12664,2275,105,2958,4129,754,33,980,0.3314285714285714,3938
IN-Abs:test:5471:nan,5471,IN-Abs,test,,dataset/IN-Abs/test-data/judgement/5471.txt,dataset/IN-Abs/test-data/summary/5471.txt,027d8db242cdba24ecc67575a3ad7e41d3829375ed1c965e2db175858b555f93,9445ddf87da886fd57404c990b5e45bf808e4c1f43a14a0b64d123886834ca0f,22648,3907,158,5079,6217,1064,48,1383,0.27233171231123626,6462
